STID,MDStatus,SCHID,CLASSROOM,TREAT,AGE,SEX,FRL,ELL,RACE,SPED,prOOOPos,poOOOPos,prCR,poCR,prLR,poLR,prBF,poBF,pdROBOC,prVSP,poVSP,pdVSPt1
23120,1,16,222,2,7.14031485284052,2,1,1,4,0,19,18,17,19,8,11,18,36,9,3,9,4
23147,1,16,208,3,7.17043121149897,2,0,1,4,0,16,19,17,14,5,8,18,36,9,2,19,5
23167,1,16,224,2,7.24435318275154,1,0,1,4,0,13,13,0,14,0,3,0,5,2,1,0,0
23179,1,16,223,3,7.86310746064339,1,1,0,4,0,6,2,16,9,2,8,8,28,2,1,3,5
23185,1,16,223,4,7.69062286105407,1,1,1,5,0,19,19,11,17,4,12,16,32,4,1,26,8
23199,1,16,209,3,7.06639288158795,1,1,1,4,0,9,15,13,15,4,7,14,48,6,1,15,7
23220,1,16,210,4,8.03285420944558,1,1,1,4,0,6,8,1,19,0,3,9,35,3,2,17,6
23222,1,16,210,2,7.43052703627652,1,0,0,3,0,12,13,10,17,0,6,17,56,6,0,14,13
23225,1,15,235,4,7.61396303901437,1,1,0,4,0,15,17,12,13,6,7,35,45,8,2,29,12
23248,1,15,204,2,7.38672142368241,1,1,0,1,0,7,15,8,13,3,8,6,42,7,5,4,6
23252,1,15,204,4,7.28815879534565,1,0,0,5,0,10,9,14,15,3,9,9,12,1,3,13,2
23286,1,15,236,3,8.54209445585216,2,0,1,4,0,6,12,20,15,17,13,15,46,6,4,17,9
23341,1,5,219,2,7.15126625598905,2,0,0,4,0,0,17,10,24,6,15,25,55,8,5,7,4
23345,1,5,219,3,7.22518822724162,1,1,1,5,0,14,18,13,18,3,8,25,39,8,6,28,12
23417,1,5,203,4,7.38672142368241,2,0,0,1,1,0,0,6,5,0,0,8,13,3,0,8,5
23430,1,20,237,4,8.03559206023272,1,0,0,3,0,12,13,16,19,6,13,4,32,3,0,7,6
23432,1,20,237,2,7.33744010951403,2,0,1,4,0,8,21,17,15,7,16,15,32,8,1,7,7
23448,1,20,238,4,7.50171115674196,1,1,1,4,0,5,3,20,13,6,7,12,35,9,2,5,2
23450,1,20,238,1,7.46611909650924,2,1,1,4,0,1,7,15,18,4,11,25,35,5,2,7,3
23453,1,20,238,1,8.12594113620808,2,0,1,4,0,7,5,6,3,0,0,16,24,7,0,4,1
23461,1,20,238,4,7.08008213552361,2,1,1,4,0,17,19,12,17,5,8,13,26,6,4,11,3
23463,1,20,238,2,7.10746064339494,2,1,1,4,0,5,14,13,10,2,6,4,8,1,0,5,3
23468,1,20,238,3,7.96714579055442,1,1,1,4,0,16,14,14,9,6,7,14,39,2,1,20,6
23469,1,20,239,3,7.52087611225188,1,1,1,4,0,17,20,12,13,12,12,23,57,4,2,21,3
23494,1,20,240,2,7.64681724845996,2,0,1,4,0,19,19,18,13,8,9,15,25,8,0,4,4
23526,1,8,201,1,7.82203969883641,2,1,1,5,0,9,17,3,18,3,4,14,33,5,3,3,2
23533,1,8,244,3,7.59753593429158,1,1,1,4,0,7,13,15,19,5,6,12,29,5,1,18,11
23534,1,8,244,1,7.51540041067762,1,1,1,4,0,6,6,11,9,0,0,5,15,3,1,6,1
23539,1,8,244,2,7.20876112251882,2,1,1,4,0,6,19,21,18,0,6,6,16,4,1,3,0
23559,1,8,245,4,7.06913073237509,2,1,1,5,1,6,8,12,23,0,6,5,29,2,1,17,6
23564,1,8,245,3,7.44421629021218,2,1,0,1,0,3,4,6,1,7,2,7,13,2,2,8,2
23570,1,8,246,1,7.86310746064339,2,0,0,4,0,6,16,14,13,0,6,6,10,1,0,5,4
23573,1,8,246,2,7.16769336071184,1,1,1,4,0,14,19,18,18,0,1,24,41,9,2,6,1
23574,1,8,246,1,7.79739904175222,1,1,1,4,0,18,18,15,15,3,3,11,12,0,1,8,0
23585,1,8,246,4,7.36208076659822,2,1,1,5,0,0,19,14,23,1,7,9,40,9,3,22,9
23587,1,8,246,3,7.29637234770705,1,0,1,4,0,15,25,9,13,3,13,18,28,4,2,27,14
23589,1,8,246,1,7.7864476386037,2,0,1,4,0,9,8,7,12,5,6,7,4,1,3,4,4
23593,1,8,247,4,7.59206023271732,1,0,0,4,0,13,17,14,15,5,9,10,36,5,4,27,13
23617,1,8,248,3,7.4031485284052,1,0,1,4,0,6,16,2,18,6,6,20,40,4,1,21,14
23622,1,8,248,2,7.15126625598905,2,1,1,4,0,6,13,11,18,0,5,3,11,0,0,1,0
23643,1,8,249,4,7.97809719370294,1,0,1,4,0,6,15,13,18,10,3,6,24,3,2,25,13
23653,1,18,213,1,7.09103353867214,1,1,1,3,0,13,20,15,15,6,11,11,26,4,2,2,2
23661,1,18,213,3,7.30732375085558,1,0,1,4,0,7,3,13,11,9,12,24,51,8,1,21,6
23668,1,18,213,2,7.1813826146475,1,0,1,3,0,6,17,2,17,3,6,12,20,4,0,2,2
23673,1,18,214,4,7.04722792607803,2,0,0,3,0,24,24,15,19,7,10,3,44,9,2,21,9
23702,1,18,217,3,7.58932238193018,2,0,0,4,0,13,19,11,15,6,7,10,54,8,2,20,9
23704,1,18,217,1,7.1211498973306,2,0,0,3,0,6,15,14,14,8,12,9,22,8,3,6,1
23707,1,18,217,4,8.19438740588638,1,0,0,4,0,3,14,15,14,6,10,11,43,6,2,25,11
23708,1,18,217,2,7.93429158110883,1,1,0,1,0,8,24,15,24,6,9,18,57,8,2,6,2
23754,1,18,218,2,7.5482546201232,2,0,0,4,0,13,6,17,16,6,11,10,36,9,2,2,5
23756,1,18,218,4,7.20328542094456,1,0,1,5,0,6,23,14,15,4,9,6,47,4,3,4,2
23770,1,18,218,1,8.00273785078713,2,0,0,4,0,15,21,19,15,9,13,21,43,8,2,10,4
23773,1,18,218,3,7.14852840520192,2,0,0,1,0,2,13,6,14,0,3,4,41,7,0,14,5
23801,1,10,211,2,7.54551676933607,1,0,1,4,0,8,15,16,19,0,10,13,47,7,1,3,1
23835,1,10,242,2,7.64134154688569,1,1,0,1,0,10,19,14,11,13,8,21,61,7,1,5,3
23855,1,10,202,1,7.02532511978097,1,0,0,3,0,22,12,14,15,15,14,11,40,8,6,11,9
23862,1,10,202,2,8.11772758384668,1,1,0,1,0,0,20,1,23,16,14,32,60,8,5,20,14
23865,1,10,202,4,7.06091718001369,1,0,0,4,0,14,13,17,15,5,13,14,42,3,5,26,12
23866,1,10,202,3,7.54551676933607,1,1,0,1,1,6,9,8,20,6,1,22,58,3,2,15,9
23882,1,17,225,1,7.4880219028063,1,0,0,1,1,7,9,18,13,6,6,10,21,3,3,3,4
23884,1,17,225,4,7.85763175906913,2,0,0,1,0,6,13,2,13,3,9,9,25,8,5,19,10
23888,1,17,226,2,7.89322381930185,1,0,0,1,0,0,8,6,20,6,5,6,20,3,3,4,0
23892,1,17,226,1,7.19780971937029,1,1,0,1,0,9,8,9,11,4,2,3,19,2,1,4,0
23922,1,17,228,3,7.23887748117728,2,1,0,1,0,17,20,13,15,9,9,11,20,4,2,5,1
23951,1,17,229,3,7.47433264887064,1,1,0,1,0,9,15,18,20,8,9,10,20,1,5,22,3
23963,1,17,212,2,7.08281998631075,2,1,0,1,0,12,15,10,14,0,3,4,22,4,0,3,1
23970,1,17,212,1,7.00068446269678,2,0,0,1,0,6,14,18,19,8,12,15,33,5,5,5,3
34002,1,1,302,2,7.93976728268309,1,1,1,4,0,12,14,14,16,6,9,6,14,7,2,16,5
34003,1,1,302,1,7.68514715947981,1,1,0,3,0,17,17,14,17,3,7,20,26,2,2,10,3
34018,1,1,302,3,7.15126625598905,2,0,0,1,1,17,19,1,5,6,7,31,33,5,2,9,1
34020,1,1,302,4,7.05544147843943,1,1,1,4,0,4,13,17,13,10,12,16,26,3,2,21,9
34021,1,1,304,3,7.40862422997947,1,0,1,4,0,8,8,14,16,3,13,4,20,3,1,9,4
34029,1,1,304,4,7.18685831622177,2,0,1,4,0,6,15,14,14,9,13,7,16,2,2,22,11
34054,1,1,303,3,7.27994524298426,2,1,1,4,0,6,9,15,20,3,9,2,54,3,1,21,3
34059,1,1,303,4,7.61396303901437,1,0,1,4,0,7,20,14,21,4,8,8,30,8,2,27,13
34065,1,1,303,2,7.87132101300479,2,1,0,1,0,17,18,21,19,9,15,14,47,8,2,10,4
34073,1,1,303,1,7.35386721423682,2,1,0,3,0,6,9,11,9,6,6,6,6,2,0,0,3
34083,1,1,301,2,8.58590006844627,1,1,0,3,0,6,12,5,11,0,3,0,0,0,0,0,0
34181,1,24,322,1,7.55920602327173,2,0,1,5,0,20,19,12,16,1,0,9,33,7,5,3,1
